id;nom;prenom;age;cni;telephone;date
1;groupware;Dynamic;461;navigate Coor;210.531.9351 x110;2021-02-06T09:19:02
2;Engineer Regional;orchid networks Eritrea;52825;didactic impl;842-870-5860;2021-02-06T21:34:43
3;Sausages override;deposit;42174;Rwanda Rubber;437.088.1284 x80758;2021-02-06T09:13:24
4;wireless Maine;Tajikistan Orchestrator;71229;Wooden Global;931.585.5239;2021-02-06T23:02:45
5;Planner;Bedfordshire program AI;38900;frame Yemeni ;1-001-121-5522 x20064;2021-02-06T07:25:18
6;Fresh;visionary Intuitive;64319;input Generic;948.287.2047 x621;2021-02-06T01:04:49
7;Hawaii 1080p;digital Ethiopian Birr;49760;firewallXXXXX;203.985.5152 x35711;2021-02-06T20:37:24
8;SCSI context-sensitive;District;13260;ivoryXXXXXXXX;654-364-9617 x39911;2021-02-06T13:47:14
9;Baby;Dynamic Automotive instruction set;80364;navigateXXXXX;1-615-398-2020 x941;2021-02-06T08:55:08
10;solid state Peso Uruguayo Uruguay Peso en Unidades Indexadas;Ports;87613;Avon value-ad;1-451-378-2928;2021-02-06T20:13:11
